cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
RET_8,8,RET,131683,338,"อำเภอเมืองสรวง (ยกเว้นตำบลคูเมือง, ตำบลกกกุง, ตำบลหนองหิน)"
RET_8,8,RET,131683,338,อำเภอจตุรพักตรพิมาน
RET_8,8,RET,131683,338,"อำเภอธวัชบุรี (เฉพาะตำบลราชธานี, ตำบลเขวาทุ่ง, ตำบลเมืองน้อย)"
RET_8,8,RET,131683,338,อำเภอศรีสมเด็จ
RET_8,8,RET,131683,338,"อำเภออาจสามารถ (ยกเว้นตำบลโพนเมือง, ตำบลบ้านแจ้ง, ตำบลอาจสามารถ, ตำบลหน่อม, ตำบลหนองหมื่นถ่าน, ตำบลหนองขาม)"
RNG_1,1,RNG,140024,209,
RYG_1,1,RYG,113424,149,"อำเภอเมืองระยอง (เฉพาะเทศบาลเมืองมาบตาพุด, เทศบาลตำบลเนินพระ, เทศบาลตำบลทับมา, เทศบาลตำบลน้ำคอก, ตำบลนาตาขวัญ, ตำบลบ้านแลง)"
RYG_1,1,RYG,113424,149,อำเภอนิคมพัฒนา (เฉพาะเทศบาลเมืองมาบตาพุด)
RYG_1,1,RYG,113424,149,อำเภอบ้านค่าย (เฉพาะตำบลตาขัน)
RYG_2,2,RYG,114586,152,"อำเภอเมืองระยอง (ยกเว้นเทศบาลเมืองมาบตาพุด, เทศบาลตำบลเนินพระ, เทศบาลตำบลทับมา, เทศบาลตำบลน้ำคอก, ตำบลนาตาขวัญ, ตำบลบ้านแลง)"
RYG_3,3,RYG,122663,208,อำเภอเขาชะเมา
RYG_3,3,RYG,122663,208,อำเภอแกลง
RYG_4,4,RYG,120353,160,อำเภอบ้านค่าย (ยกเว้นตำบลตาขัน)
RYG_4,4,RYG,120353,160,อำเภอปลวกแดง (ยกเว้นตำบลแม่น้ำคู้)
RYG_4,4,RYG,120353,160,อำเภอวังจันทร์
RYG_5,5,RYG,116634,134,อำเภอนิคมพัฒนา (ยกเว้นเทศบาลเมืองมาบตาพุด)
RYG_5,5,RYG,116634,134,อำเภอบ้านฉาง
